date,tensorflow,pytorch,keras
2017-09-02,61989,6297,17367
2017-09-03,62059,6312,17388
2017-09-04,62154,6334,17422
2017-09-05,62263,6356,17456
2017-09-06,62364,6383,17488
2017-09-07,62487,6412,17524
2017-09-08,62588,6440,17545
2017-09-09,62677,6467,17571
2017-09-10,62730,6515,17596
2017-09-11,62830,6554,17622
2017-09-12,62936,6576,17656
2017-09-13,63037,6599,17685
2017-09-14,63125,6623,17704
2017-09-15,63220,6639,17726
2017-09-16,63289,6651,17749
2017-09-17,63350,6660,17766
2017-09-18,63461,6681,17789
2017-09-19,63575,6702,17819
2017-09-20,63653,6723,17848
2017-09-21,63771,6737,17874
2017-09-22,63862,6755,17899
2017-09-23,63924,6766,17918
2017-09-24,63986,6783,17945
2017-09-25,64067,6809,17969
2017-09-26,64173,6827,18011
2017-09-27,64289,6841,18058
2017-09-28,64382,6852,18089
2017-09-29,64482,6870,18119
2017-09-30,64563,6884,18146
2017-10-01,64631,6895,18162
2017-10-02,64723,6910,18191
2017-10-03,64789,6933,18217
2017-10-04,64839,6960,18239
2017-10-05,64897,6981,18268
2017-10-06,64952,6993,18304
2017-10-07,64990,6998,18317
2017-10-08,65039,7014,18333
2017-10-09,65122,7062,18368
2017-10-10,65222,7100,18417
